"x"	"x"
27.25	95.75
27.45000076	96.33000183
27.32999992	93.02999878
28.10000038	95.37999725
27.70999908	95.83000183
27.89999962	94.08000183
27.07999992	93.61000061
28.89999962	94.80000305
28.20999908	95.16000366
27.04999924	92.69999695
26.30999947	91.01000214
26.79999924	90.98000336
26.5	91
26.65999985	90.65000153
26.65999985	90.65000153
24.55999947	92.98000336
24.60000038	92.83000183
24.78000069	93
24.80999947	92.80000305
26.65999985	90.86000061
26.01000023	89.98000336
27.47999954	95.01000214
26.97999954	94.61000061
27.32999992	94.83000183
27.25	95.33000183
25.25	91.73000336
25.55999947	91.87999725
26.17000008	90.62000275
26.51000023	93.98000336
26.65999985	93.75
24.36000061	92.52999878
25.43000031	92.19999695
26.70999908	94.20999908
26.86000061	94.25
26.10000038	91.58000183
26.32999992	91.66000366
26.45000076	91.61000061
26.01000023	93.77999878
25.82999992	92.83000183
24.86000061	92.34999847
26.40999985	90
26.37999916	90.26000214
26.93000031	93.95999908
27.40999985	94.30000305
27.22999954	94.11000061
26.15999985	92.34999847
26.15999985	92.65000153
25.75	93.18000031
26.79999924	91.51000214
26.45000076	91.43000031
25.70000076	91.95999908
26.70000076	92.48000336
26.61000061	92.77999878
26.82999992	94.75
26.97999954	94.62999725
27.75	95.61000061
27.28000069	95.68000031
26.75	92.34999847
25.95000076	90.20999908
23.70000076	92.75
22.47999954	92.97000122
24.76000023	93.90000153
25.62999916	94.16000366
24.22999954	92.69999695
22.87999916	92.73000336
24.37999916	92.16000366
24.30999947	92.01000214
25.67000008	94.5
23.29999924	92.83000183
23.25	91.45999908
23.01000023	91.73000336
23.53000069	91.5
23.87999916	91.25
24.07999992	91.61000061
23.47999954	91.27999878
26.32999992	89.45999908
26.14999962	89.45999908
26.32999992	88.76999664
26.35000038	89.20999908
26.62999916	88.31999969
26.75	88.41000366
27.04999924	88.26000214
26.93000031	88.69999695
27.05999947	88.45999908
27.32999992	88.62000275
27.18000031	88.5
27.32999992	88.62999725
26.45999908	89.55000305
26.45999908	89.55000305
26.51000023	89.80000305
26.93000031	89
26.30999947	89.65000153
26.54999924	88.75
26.65999985	89.33000183
26.53000069	88.70999908
26.85000038	88.83000183
26.90999985	88.91000366
26.86000061	88.76000214
26.57999992	88.93000031
24.89999962	88.09999847
25.03000069	88.12999725
26.27000046	88.19999695
25.60000038	88.30000305
25.61000061	88.12999725
25.20999908	88.76000214
22.47999954	88.56999969
23.20000076	88.34999847
23.64999962	88.12999725
22.97999954	88.36000061
22.96999931	88.09999847
22.45999908	88.11000061
22.45999908	88.09999847
22.53000069	88.33000183
24.12999916	88.26000214
24.22999954	88.26999664
23.95999908	88.05000305
24.28000069	88.09999847
23.39999962	88.51000214
23.18000031	88.55000305
22.76000023	88.36000061
22.62999916	88.87000275
22.65999985	88.87999725
23.05999947	88.80999756
22.67000008	88.65000153
22.64999962	88.44999695
22.36000061	88.19000244
22.35000038	88.44999695
22.25	88.66000366
22.18000031	88.18000031
21.64999962	88.05000305
26.39999962	88.09999847
